Year,School,Conf,Class,Pos,G,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Sref_Cfb_ID,Stats_Incl_Bowl_Gm
2000,Ohio State,Big Ten,JR,RB,12,136,598,4.4,6,9,88,9.8,0,145,686,4.7,6,jonathan-wells-1,1
2001,Ohio State,Big Ten,SR,RB,11,232,1257,5.4,15,11,117,10.6,0,243,1374,5.7,15,jonathan-wells-1,0
1998,Indiana,Big Ten,,WR,9,6,56,9.3,0,15,323,21.5,2,21,379,18.0,2,levron-williams-1,0
1999,Indiana,Big Ten,,RB,11,118,817,6.9,4,33,360,10.9,3,151,1177,7.8,7,levron-williams-1,0
2000,Indiana,Big Ten,SR,RB,10,116,821,7.1,10,20,116,5.8,0,136,937,6.9,10,levron-williams-1,0
2001,Indiana,Big Ten,SR,RB,11,212,1401,6.6,17,26,289,11.1,2,238,1690,7.1,19,levron-williams-1,0
1997,Texas Tech,Big 12,,RB,11,201,894,4.4,3,10,130,13.0,0,211,1024,4.9,3,ricky-williams-2,0
1998,Texas Tech,Big 12,,RB,11,306,1582,5.2,13,18,176,9.8,0,324,1758,5.4,13,ricky-williams-2,0
1999,Texas Tech,Big 12,,RB,1,13,33,2.5,1,,,,,13,33,2.5,1,ricky-williams-2,0
2000,Texas Tech,Big 12,SR,RB,12,127,421,3.3,5,52,228,4.4,2,179,649,3.6,7,ricky-williams-2,0
2001,Texas Tech,Big 12,SR,RB,11,142,726,5.1,14,92,617,6.7,4,234,1343,5.7,18,ricky-williams-2,0
1999,Michigan,Big Ten,,RB,11,23,70,3.0,1,3,4,1.3,0,26,74,2.8,1,bj-askew-1,0
2000,Michigan,Big Ten,SO,RB,11,11,40,3.6,0,15,231,15.4,2,26,271,10.4,2,bj-askew-1,0
2001,Michigan,Big Ten,JR,RB,11,190,831,4.4,10,24,213,8.9,1,214,1044,4.9,11,bj-askew-1,0
2002,Michigan,Big Ten,SR,RB,13,110,568,5.2,6,36,280,7.8,1,146,848,5.8,7,bj-askew-1,1
1999,Alabama,SEC,,RB,11,,,,,,,,,0,0,,0,santonio-beard-1,0
2001,Alabama,SEC,JR,RB,8,77,633,8.2,4,1,8,8.0,0,78,641,8.2,4,santonio-beard-1,0
2002,Alabama,SEC,JR,RB,13,165,811,4.9,12,5,74,14.8,0,170,885,5.2,12,santonio-beard-1,0
2001,Colorado,Big 12,SO,RB,12,190,946,5.0,16,6,36,6.0,0,196,982,5.0,16,chris-brown-1,0
2002,Colorado,Big 12,JR,RB,12,303,1841,6.1,19,5,40,8.0,0,308,1881,6.1,19,chris-brown-1,1
1999,Stanford,Pac-10,,RB,10,87,330,3.8,6,2,15,7.5,0,89,345,3.9,6,kerry-carter-1,0
2000,Stanford,Pac-10,SO,RB,11,179,729,4.1,6,4,93,23.3,1,183,822,4.5,7,kerry-carter-1,0
2001,Stanford,Pac-10,JR,RB,7,123,456,3.7,9,11,158,14.4,1,134,614,4.6,10,kerry-carter-1,0
2002,Stanford,Pac-10,SR,RB,10,149,524,3.5,2,8,36,4.5,0,157,560,3.6,2,kerry-carter-1,0
1999,West Virginia,Big East,,RB,10,224,1138,5.1,10,16,126,7.9,0,240,1264,5.3,10,avon-cobourne-1,0
2000,West Virginia,Big East,SO,RB,9,197,893,4.5,7,5,63,12.6,0,202,956,4.7,7,avon-cobourne-1,0
2001,West Virginia,Big East,JR,RB,11,267,1298,4.9,9,23,124,5.4,0,290,1422,4.9,9,avon-cobourne-1,0
2002,West Virginia,Big East,SR,RB,13,335,1710,5.1,17,15,146,9.7,0,350,1856,5.3,17,avon-cobourne-1,1
1999,Nebraska,Big 12,,RB,12,57,303,5.3,2,1,9,9.0,0,58,312,5.4,2,dahrran-diedrick-1,0
2000,Nebraska,Big 12,SO,RB,11,33,212,6.4,3,1,12,12.0,0,34,224,6.6,3,dahrran-diedrick-1,0
2001,Nebraska,Big 12,JR,RB,11,233,1299,5.6,15,1,-5,-5.0,0,234,1294,5.5,15,dahrran-diedrick-1,0
2002,Nebraska,Big 12,SR,RB,14,179,931,5.2,6,4,19,4.8,0,183,950,5.2,6,dahrran-diedrick-1,1
1998,Michigan,Big Ten,,RB,10,77,277,3.6,1,1,5,5.0,0,78,282,3.6,1,justin-fargas-1,0
2000,Michigan,Big Ten,SO,RB,11,18,85,4.7,0,,,,,18,85,4.7,0,justin-fargas-1,0
2002,USC,Pac-10,SR,RB,12,161,715,4.4,7,8,101,12.6,0,169,816,4.8,7,justin-fargas-1,1
1999,Alabama,SEC,,RB,12,7,33,4.7,0,,,,,7,33,4.7,0,ahmaad-galloway-1,0
2000,Alabama,SEC,SO,RB,11,137,659,4.8,7,4,48,12.0,0,141,707,5.0,7,ahmaad-galloway-1,0
2001,Alabama,SEC,JR,RB,11,174,881,5.1,6,3,20,6.7,0,177,901,5.1,6,ahmaad-galloway-1,0
2002,Alabama,SEC,SR,RB,4,58,257,4.4,4,1,5,5.0,0,59,262,4.4,4,ahmaad-galloway-1,0
1998,Florida,SEC,,RB,2,6,20,3.3,0,,,,,6,20,3.3,0,earnest-graham-1,0
1999,Florida,SEC,,RB,9,117,654,5.6,5,6,37,6.2,0,123,691,5.6,5,earnest-graham-1,0
2000,Florida,SEC,SO,RB,12,121,676,5.6,8,19,143,7.5,0,140,819,5.9,8,earnest-graham-1,0
2001,Florida,SEC,JR,RB,9,125,650,5.2,9,12,129,10.8,0,137,779,5.7,9,earnest-graham-1,0
2002,Florida,SEC,SR,RB,13,240,1085,4.5,11,22,93,4.2,0,262,1178,4.5,11,earnest-graham-1,1
1999,Oklahoma,Big 12,,RB,4,44,285,6.5,3,11,107,9.7,1,55,392,7.1,4,quentin-griffin-1,0
2000,Oklahoma,Big 12,SO,RB,13,200,823,4.1,17,51,429,8.4,0,251,1252,5.0,17,quentin-griffin-1,1
2001,Oklahoma,Big 12,JR,RB,12,182,804,4.4,9,55,440,8.0,2,237,1244,5.2,11,quentin-griffin-1,0
2002,Oklahoma,Big 12,SR,RB,14,287,1884,6.6,15,35,264,7.5,3,322,2148,6.7,18,quentin-griffin-1,1
1999,Middle Tennessee State,Ind,,RB,9,39,182,4.7,3,5,18,3.6,0,44,200,4.5,3,dwone-hicks-1,0
2000,Middle Tennessee State,Ind,SO,RB,11,186,1277,6.9,19,19,181,9.5,2,205,1458,7.1,21,dwone-hicks-1,0
2001,Middle Tennessee State,Sun Belt,JR,RB,11,191,1143,6.0,20,18,230,12.8,4,209,1373,6.6,24,dwone-hicks-1,0
